Epoch,Norm,Opt,Lr,Momentum,Weight_decay,Train_Loss,Test_Loss,Test_Accuracy
1,Batch Norm,adam,0.001,0.5,0,1.435555579717202,1.455265159093881,0.5505
2,Batch Norm,adam,0.001,0.5,0,0.9225888912330198,0.9122371786757361,0.6895
3,Batch Norm,adam,0.001,0.5,0,0.6920990616159366,0.8130981990053684,0.7155
4,Batch Norm,adam,0.001,0.5,0,0.5544939637184143,0.6357987745653225,0.7874
5,Batch Norm,adam,0.001,0.5,0,0.453026162350879,0.6152705659594717,0.7917
6,Batch Norm,adam,0.001,0.5,0,0.3777958132955424,0.625097322690336,0.7916
7,Batch Norm,adam,0.001,0.5,0,0.3010486693638365,0.6730911528007893,0.7893
8,Batch Norm,adam,0.001,0.5,0,0.24690014449760433,0.5979387149026122,0.8155
9,Batch Norm,adam,0.001,0.5,0,0.19958301242964957,0.6056760572179963,0.8177
10,Batch Norm,adam,0.001,0.5,0,0.1567626167136385,0.7016759578940235,0.8088
11,Batch Norm,adam,0.001,0.5,0,0.13569397072467354,0.6046417370627198,0.835
12,Batch Norm,adam,0.001,0.5,0,0.10899907488213934,0.7119928198524669,0.8146
13,Batch Norm,adam,0.001,0.5,0,0.09739783158540116,0.6712140308905251,0.8311
14,Batch Norm,adam,0.001,0.5,0,0.08994378262649641,0.6637554591215109,0.8333
15,Batch Norm,adam,0.001,0.5,0,0.06786050735865637,0.690781714795511,0.8266
16,Batch Norm,adam,0.001,0.5,0,0.08549994120941214,0.6482998232675504,0.8423
17,Batch Norm,adam,0.001,0.5,0,0.05497255963285256,0.7023539707253251,0.8442
18,Batch Norm,adam,0.001,0.5,0,0.04929873031085295,0.7608030178124392,0.8349
19,Batch Norm,adam,0.001,0.5,0,0.06595202069014997,0.7106362607660173,0.8377
20,Batch Norm,adam,0.001,0.5,0,0.05989619781075003,0.7920900737937493,0.8201
21,Batch Norm,adam,0.001,0.5,0,0.015632145297344382,0.5824257388145109,0.8656
22,Batch Norm,adam,0.001,0.5,0,0.0025300707219524637,0.5948731680459614,0.8707
23,Batch Norm,adam,0.001,0.5,0,0.0015481212720869805,0.6321968147649041,0.8641
24,Batch Norm,adam,0.001,0.5,0,0.001368356108203378,0.6337848790461504,0.874
25,Batch Norm,adam,0.001,0.5,0,0.00107957414815353,0.6651545772446862,0.8695
26,Batch Norm,adam,0.001,0.5,0,0.0008508008406044978,0.7035154228723501,0.8715
27,Batch Norm,adam,0.001,0.5,0,0.000475761996310614,0.7165396258800845,0.8731
28,Batch Norm,adam,0.001,0.5,0,0.00019518642302337842,0.760048901167097,0.8755
29,Batch Norm,adam,0.001,0.5,0,0.00028271217143412884,0.7720446337627459,0.8734
30,Batch Norm,adam,0.001,0.5,0,0.027668210437621528,0.7503755926331387,0.8546
31,Batch Norm,adam,0.001,0.5,0,0.004992939079986633,0.6544388387399384,0.8689
32,Batch Norm,adam,0.001,0.5,0,0.0011560548351051303,0.6536575101221664,0.8704
33,Batch Norm,adam,0.001,0.5,0,0.000802464418184242,0.6704142276622072,0.8713
34,Batch Norm,adam,0.001,0.5,0,0.0004243613370271284,0.6773125680187081,0.8714
35,Batch Norm,adam,0.001,0.5,0,0.00031807556430332224,0.6865576860270922,0.8726
36,Batch Norm,adam,0.001,0.5,0,0.0002599828710659411,0.6981543029033686,0.873
37,Batch Norm,adam,0.001,0.5,0,0.00020757025626632508,0.7136948804689359,0.8724
38,Batch Norm,adam,0.001,0.5,0,0.0001548088719880612,0.7452082156757766,0.8733
39,Batch Norm,adam,0.001,0.5,0,0.00011639783578875559,0.7648527965515475,0.8741
40,Batch Norm,adam,0.001,0.5,0,7.851896607416028e-05,0.7799658733832685,0.8724
41,Batch Norm,adam,0.001,0.5,0,6.865793764581261e-05,0.7899412786281561,0.8724
42,Batch Norm,adam,0.001,0.5,0,6.492603869600133e-05,0.8025278722560858,0.873
43,Batch Norm,adam,0.001,0.5,0,4.3432455939187196e-05,0.8116793093047564,0.8733
44,Batch Norm,adam,0.001,0.5,0,4.761805151123963e-05,0.8277435395159299,0.8737
45,Batch Norm,adam,0.001,0.5,0,3.642204145514935e-05,0.8405315304481531,0.8739
46,Batch Norm,adam,0.001,0.5,0,6.186195612936176e-05,0.8434908920073811,0.8716
47,Batch Norm,adam,0.001,0.5,0,2.8877375536671992e-05,0.8672762658399872,0.8731
48,Batch Norm,adam,0.001,0.5,0,2.715804421017231e-05,0.8855149323427225,0.8727
49,Batch Norm,adam,0.001,0.5,0,2.693276381151032e-05,0.8939921248562729,0.8727
50,Batch Norm,adam,0.001,0.5,0,2.0040021692878042e-05,0.9106205118985116,0.8738
1,Batch Norm,adam,0.001,0.9,0,1.435555579717202,1.455265159093881,0.5505
2,Batch Norm,adam,0.001,0.9,0,0.9225888912330198,0.9122371786757361,0.6895
3,Batch Norm,adam,0.001,0.9,0,0.6920990616159366,0.8130981990053684,0.7155
