Epoch,Norm,Opt,Lr,Momentum,Weight_decay,Train_Loss,Test_Loss,Test_Accuracy
1,Batch Norm,sgd,0.001,0.5,0,2.050112903270575,1.818495213230954,0.3227
2,Batch Norm,sgd,0.001,0.5,0,1.719918450736024,1.657380531105814,0.3766
3,Batch Norm,sgd,0.001,0.5,0,1.5741315888017036,1.5040826329702064,0.4402
4,Batch Norm,sgd,0.001,0.5,0,1.4584649639666234,1.4302387237548828,0.4723
5,Batch Norm,sgd,0.001,0.5,0,1.3629693805104326,1.3546048614043225,0.4936
6,Batch Norm,sgd,0.001,0.5,0,1.2712608773994933,1.2851794927935056,0.5299
7,Batch Norm,sgd,0.001,0.5,0,1.1834248013203712,1.224778500538838,0.5502
8,Batch Norm,sgd,0.001,0.5,0,1.1005570034846626,1.1644442202169685,0.5746
9,Batch Norm,sgd,0.001,0.5,0,1.0135796923771538,1.1585580148274386,0.5803
10,Batch Norm,sgd,0.001,0.5,0,0.9388278677030597,1.1068448424339294,0.6061
11,Batch Norm,sgd,0.001,0.5,0,0.8590131444699319,1.105756332602682,0.6112
12,Batch Norm,sgd,0.001,0.5,0,0.7731782464724978,1.1368872047979621,0.6084
13,Batch Norm,sgd,0.001,0.5,0,0.6949273490387461,1.094290337985075,0.6264
14,Batch Norm,sgd,0.001,0.5,0,0.6122631885663933,1.1163169153128998,0.6185
15,Batch Norm,sgd,0.001,0.5,0,0.533972740478223,1.124491949624653,0.6319
16,Batch Norm,sgd,0.001,0.5,0,0.4560870551468466,1.2035940893088715,0.628
17,Batch Norm,sgd,0.001,0.5,0,0.38307587600425075,1.27205293691611,0.6325
18,Batch Norm,sgd,0.001,0.5,0,0.32100392096792646,1.3320586228672462,0.6305
19,Batch Norm,sgd,0.001,0.5,0,0.25936694142153804,1.3957553468173063,0.6232
20,Batch Norm,sgd,0.001,0.5,0,0.20909816282027213,1.3406597519222694,0.6362
21,Batch Norm,sgd,0.001,0.5,0,0.10453336557273364,1.2731472653678702,0.6534
22,Batch Norm,sgd,0.001,0.5,0,0.058920235437391055,1.28173851891409,0.66
23,Batch Norm,sgd,0.001,0.5,0,0.04514546222660853,1.3110052505625953,0.6561
24,Batch Norm,sgd,0.001,0.5,0,0.03545401053850913,1.3300065647197674,0.6627
25,Batch Norm,sgd,0.001,0.5,0,0.027803036901156614,1.3414219806465921,0.6628
26,Batch Norm,sgd,0.001,0.5,0,0.024634287652114163,1.3639955950688711,0.6631
27,Batch Norm,sgd,0.001,0.5,0,0.022394393296802744,1.397755581366865,0.6608
28,Batch Norm,sgd,0.001,0.5,0,0.01963765210593524,1.3939432373529748,0.6583
29,Batch Norm,sgd,0.001,0.5,0,0.017996798313515798,1.4083415224582334,0.6604
30,Batch Norm,sgd,0.001,0.5,0,0.014842195108847316,1.42172380565088,0.6619
31,Batch Norm,sgd,0.001,0.5,0,0.014307392583659772,1.4191098183016233,0.6603
32,Batch Norm,sgd,0.001,0.5,0,0.013631815724360669,1.4232573177241072,0.6583
33,Batch Norm,sgd,0.001,0.5,0,0.01300695453903845,1.429362351381326,0.6598
34,Batch Norm,sgd,0.001,0.5,0,0.0113320411915374,1.4338981418669978,0.6595
35,Batch Norm,sgd,0.001,0.5,0,0.011519594293068666,1.4374237913119643,0.6612
36,Batch Norm,sgd,0.001,0.5,0,0.012325665058420442,1.4310365590868117,0.6594
37,Batch Norm,sgd,0.001,0.5,0,0.010812059377112885,1.4417805528338952,0.6601
38,Batch Norm,sgd,0.001,0.5,0,0.011223596062206322,1.4409806660459012,0.6644
39,Batch Norm,sgd,0.001,0.5,0,0.010195879510406148,1.4513869489295572,0.6635
40,Batch Norm,sgd,0.001,0.5,0,0.010561960280094,1.4611162430123439,0.6597
41,Batch Norm,sgd,0.001,0.5,0,0.009621481728547102,1.4506105418446698,0.6614
42,Batch Norm,sgd,0.001,0.5,0,0.00983911344026456,1.4470605374891548,0.6636
43,Batch Norm,sgd,0.001,0.5,0,0.009669923223555088,1.4494561703899238,0.662
44,Batch Norm,sgd,0.001,0.5,0,0.009907797996021445,1.4466736867458005,0.6611
45,Batch Norm,sgd,0.001,0.5,0,0.009554438123269879,1.4542553470104556,0.6621
46,Batch Norm,sgd,0.001,0.5,0,0.009689408659939761,1.4469675074649762,0.6633
47,Batch Norm,sgd,0.001,0.5,0,0.008545586406408102,1.4490978408463393,0.6629
48,Batch Norm,sgd,0.001,0.5,0,0.009541707845223719,1.4517060593713689,0.6617
49,Batch Norm,sgd,0.001,0.5,0,0.00915934017066227,1.4481100726731215,0.6602
50,Batch Norm,sgd,0.001,0.5,0,0.008583335010894595,1.4495647783520855,0.6643
1,Batch Norm,sgd,0.001,0.9,0,1.7818639455244059,1.4809288872948176,0.4494
2,Batch Norm,sgd,0.001,0.9,0,1.352322025372244,1.3149739986733546,0.5265
3,Batch Norm,sgd,0.001,0.9,0,1.1218976980584967,1.1014296352108823,0.6057
4,Batch Norm,sgd,0.001,0.9,0,0.9381382224504905,0.9997009272816815,0.646
5,Batch Norm,sgd,0.001,0.9,0,0.7690527103746029,0.9644064940983736,0.6571
6,Batch Norm,sgd,0.001,0.9,0,0.6151353986671818,0.9585580833350555,0.6767
7,Batch Norm,sgd,0.001,0.9,0,0.475360350459433,1.0374245553077022,0.6785
8,Batch Norm,sgd,0.001,0.9,0,0.35046167260088273,1.0347492785393437,0.6918
9,Batch Norm,sgd,0.001,0.9,0,0.256632871449451,1.1507170917112617,0.6839
10,Batch Norm,sgd,0.001,0.9,0,0.16941389984563185,1.1859163030793396,0.6978
11,Batch Norm,sgd,0.001,0.9,0,0.12740473157685736,1.2059161844132822,0.6909
12,Batch Norm,sgd,0.001,0.9,0,0.08472136828257605,1.2125175746181343,0.7266
13,Batch Norm,sgd,0.001,0.9,0,0.06751961718835033,1.2021613339834576,0.7233
14,Batch Norm,sgd,0.001,0.9,0,0.053278480546877664,1.2475933530662633,0.7264
15,Batch Norm,sgd,0.001,0.9,0,0.0463121886593778,1.2523259369632866,0.7248
16,Batch Norm,sgd,0.001,0.9,0,0.036722636192112856,1.2628654226472107,0.7289
17,Batch Norm,sgd,0.001,0.9,0,0.034280162533302135,1.3393642842015134,0.7243
18,Batch Norm,sgd,0.001,0.9,0,0.027102258200507105,1.4028199579142318,0.7182
19,Batch Norm,sgd,0.001,0.9,0,0.017342058827986232,1.3273508744903757,0.7318
20,Batch Norm,sgd,0.001,0.9,0,0.016471487536366618,1.4156253405764132,0.7343
21,Batch Norm,sgd,0.001,0.9,0,0.005975793938740821,1.2607577141327193,0.7482
22,Batch Norm,sgd,0.001,0.9,0,0.002204572749913663,1.2512157506580595,0.75
23,Batch Norm,sgd,0.001,0.9,0,0.0015229034037930686,1.2466456867471527,0.7547
24,Batch Norm,sgd,0.001,0.9,0,0.001170878022243126,1.2577692805966245,0.7525
25,Batch Norm,sgd,0.001,0.9,0,0.0009596827504349529,1.2450859410853325,0.7543
26,Batch Norm,sgd,0.001,0.9,0,0.0008663891099260577,1.2580048902125298,0.7538
27,Batch Norm,sgd,0.001,0.9,0,0.0008517398631147792,1.257741992986655,0.7542
28,Batch Norm,sgd,0.001,0.9,0,0.0007817232021679352,1.2620265680023386,0.7546
29,Batch Norm,sgd,0.001,0.9,0,0.0006843778182720572,1.2557257338415218,0.756
30,Batch Norm,sgd,0.001,0.9,0,0.000579853565316758,1.262261810182016,0.7576
31,Batch Norm,sgd,0.001,0.9,0,0.000590232439315193,1.2612531849100619,0.7553
32,Batch Norm,sgd,0.001,0.9,0,0.0005840826182268307,1.2634942976734307,0.7549
33,Batch Norm,sgd,0.001,0.9,0,0.0005381722441639827,1.2596676606166213,0.7562
34,Batch Norm,sgd,0.001,0.9,0,0.00047388238275362314,1.2559342806852316,0.7555
35,Batch Norm,sgd,0.001,0.9,0,0.00045499441477328973,1.2637004641037952,0.7523
36,Batch Norm,sgd,0.001,0.9,0,0.0005744099493629461,1.260044636605661,0.7579
37,Batch Norm,sgd,0.001,0.9,0,0.00048186645846512606,1.2605726998063582,0.7574
38,Batch Norm,sgd,0.001,0.9,0,0.0005025654406551167,1.259196365935893,0.7561
39,Batch Norm,sgd,0.001,0.9,0,0.0004209029154836848,1.2609145377255693,0.7548
40,Batch Norm,sgd,0.001,0.9,0,0.00042097789551089147,1.2647654301003566,0.757
41,Batch Norm,sgd,0.001,0.9,0,0.0004428332230536794,1.2583252983757212,0.7581
42,Batch Norm,sgd,0.001,0.9,0,0.00044828801165910107,1.2625563748275177,0.7588
43,Batch Norm,sgd,0.001,0.9,0,0.00042720898109993745,1.2609380981590175,0.7571
44,Batch Norm,sgd,0.001,0.9,0,0.00044099873796318563,1.2604364043549647,0.758
45,Batch Norm,sgd,0.001,0.9,0,0.0004643640352573539,1.2631557440455956,0.7579
46,Batch Norm,sgd,0.001,0.9,0,0.00047886029728140463,1.260071319869802,0.7577
47,Batch Norm,sgd,0.001,0.9,0,0.00037082316528242365,1.2610197716121432,0.7566
48,Batch Norm,sgd,0.001,0.9,0,0.0003977805438428841,1.2633429094205928,0.7577
49,Batch Norm,sgd,0.001,0.9,0,0.0004340225181122825,1.2558317508878587,0.7569
50,Batch Norm,sgd,0.001,0.9,0,0.000406351428866908,1.2652828414228898,0.7568
1,Batch Norm,sgd,0.01,0.5,0,1.743948325476683,1.5169202587272548,0.4423
2,Batch Norm,sgd,0.01,0.5,0,1.212981208815904,1.1960275980490673,0.5975
3,Batch Norm,sgd,0.01,0.5,0,0.947731995826487,0.9933200410649746,0.6489
4,Batch Norm,sgd,0.01,0.5,0,0.7395742547024241,1.0605983243712895,0.6685
5,Batch Norm,sgd,0.01,0.5,0,0.5823623082217049,0.8544365861747838,0.7136
6,Batch Norm,sgd,0.01,0.5,0,0.4317269010464554,0.8680199731754351,0.7271
7,Batch Norm,sgd,0.01,0.5,0,0.3072677511921929,0.8463499236710464,0.7412
8,Batch Norm,sgd,0.01,0.5,0,0.2174872038576304,1.0653637232659738,0.7147
9,Batch Norm,sgd,0.01,0.5,0,0.1553932423310359,1.0166537241090703,0.7393
10,Batch Norm,sgd,0.01,0.5,0,0.10855908983903925,1.1111442167547685,0.7355
11,Batch Norm,sgd,0.01,0.5,0,0.09620680879144107,1.1293528193159947,0.7484
12,Batch Norm,sgd,0.01,0.5,0,0.06550653826902665,1.2441892488093316,0.7402
