Epoch,Norm,Opt,Lr,Momentum,Weight_decay,Train_Loss,Test_Loss,Test_Accuracy
1,Group Norm,sgd,0.001,0.5,0,1.988877136993896,1.7222103137004225,0.3818
2,Group Norm,sgd,0.001,0.5,0,1.686859294276713,1.6195839794376228,0.4204
3,Group Norm,sgd,0.001,0.5,0,1.5343793685478933,1.6000855995129935,0.4103
4,Group Norm,sgd,0.001,0.5,0,1.4247185299768472,1.4170129344433169,0.47
5,Group Norm,sgd,0.001,0.5,0,1.3370891431408465,1.50784531575215,0.4503
6,Group Norm,sgd,0.001,0.5,0,1.2498494920218388,1.3214573467834085,0.534
7,Group Norm,sgd,0.001,0.5,0,1.181341773103875,1.1361454076404813,0.5944
8,Group Norm,sgd,0.001,0.5,0,1.1087185132229114,1.2579443500011782,0.544
9,Group Norm,sgd,0.001,0.5,0,1.045803678919897,1.1331274403801448,0.5859
10,Group Norm,sgd,0.001,0.5,0,0.9863582180284173,1.121810015998309,0.6058
11,Group Norm,sgd,0.001,0.5,0,0.9337157139083003,1.1595016959347302,0.5963
12,Group Norm,sgd,0.001,0.5,0,0.8708691206734503,1.1128002058101605,0.6155
13,Group Norm,sgd,0.001,0.5,0,0.8269664701598379,1.016355119928529,0.6457
14,Group Norm,sgd,0.001,0.5,0,0.7798231943793918,0.9450896955743621,0.6678
15,Group Norm,sgd,0.001,0.5,0,0.7345734038163939,0.9834098355679572,0.6654
16,Group Norm,sgd,0.001,0.5,0,0.684900977498735,0.8790238348743583,0.6957
17,Group Norm,sgd,0.001,0.5,0,0.6505495588797743,0.9343210579473761,0.6783
18,Group Norm,sgd,0.001,0.5,0,0.5977822691583268,1.0711089063294326,0.6431
19,Group Norm,sgd,0.001,0.5,0,0.5628924469661225,1.0695786747751357,0.6518
20,Group Norm,sgd,0.001,0.5,0,0.521423286336767,0.9147774592230592,0.6988
21,Group Norm,sgd,0.001,0.5,0,0.28843817579776737,0.8077272237101688,0.7346
22,Group Norm,sgd,0.001,0.5,0,0.22791737245629207,0.8156744498240797,0.7316
23,Group Norm,sgd,0.001,0.5,0,0.1857300019439529,0.8492801491218277,0.7293
24,Group Norm,sgd,0.001,0.5,0,0.14938490298550453,0.8531457449816451,0.7294
25,Group Norm,sgd,0.001,0.5,0,0.1176629040933326,0.8742788675465162,0.7259
26,Group Norm,sgd,0.001,0.5,0,0.09075662814785758,0.8986611253098596,0.7269
27,Group Norm,sgd,0.001,0.5,0,0.06854034770670754,0.9022518049312543,0.7303
28,Group Norm,sgd,0.001,0.5,0,0.05068278610420501,0.9276496270034886,0.7291
29,Group Norm,sgd,0.001,0.5,0,0.03785354870816936,0.9493953947779499,0.7283
30,Group Norm,sgd,0.001,0.5,0,0.02912080046885154,0.9549843284148204,0.7283
31,Group Norm,sgd,0.001,0.5,0,0.02182351604647115,0.9583110869685306,0.7292
32,Group Norm,sgd,0.001,0.5,0,0.020241881334854057,0.9630457276030432,0.7307
33,Group Norm,sgd,0.001,0.5,0,0.019062753059351078,0.9697831265534027,0.7306
34,Group Norm,sgd,0.001,0.5,0,0.01801294805791677,0.9754180214073085,0.7296
35,Group Norm,sgd,0.001,0.5,0,0.01706043851402257,0.9778330077098895,0.7289
36,Group Norm,sgd,0.001,0.5,0,0.016188701548044335,0.9826557462728476,0.7296
37,Group Norm,sgd,0.001,0.5,0,0.01541520680879693,0.986324975007697,0.7305
38,Group Norm,sgd,0.001,0.5,0,0.0146880477805005,0.9910278629653061,0.729
39,Group Norm,sgd,0.001,0.5,0,0.014025438419731378,0.9935327926768532,0.7301
40,Group Norm,sgd,0.001,0.5,0,0.013408447946886273,0.9989578361752667,0.7297
41,Group Norm,sgd,0.001,0.5,0,0.01273335045074944,0.9991605674164205,0.7306
42,Group Norm,sgd,0.001,0.5,0,0.01255232510168839,1.000813135617896,0.7298
43,Group Norm,sgd,0.001,0.5,0,0.012386136154746612,1.0016023418571376,0.7306
44,Group Norm,sgd,0.001,0.5,0,0.012221033744456824,1.0028620543359201,0.7296
45,Group Norm,sgd,0.001,0.5,0,0.012056761799985185,1.0040142075924934,0.7304
46,Group Norm,sgd,0.001,0.5,0,0.011906624838347783,1.0051173371604727,0.7298
47,Group Norm,sgd,0.001,0.5,0,0.011749651071036716,1.005979139593583,0.73
48,Group Norm,sgd,0.001,0.5,0,0.011600385568893094,1.0074866995026794,0.7303
49,Group Norm,sgd,0.001,0.5,0,0.011453696165729286,1.007876381843905,0.7302
50,Group Norm,sgd,0.001,0.5,0,0.011312211430190927,1.0093120012102248,0.7303
1,Group Norm,sgd,0.001,0.9,0,1.881608965756643,1.6014969635613356,0.4124
2,Group Norm,sgd,0.001,0.9,0,1.4799940479381004,1.3311867849736274,0.5102
3,Group Norm,sgd,0.001,0.9,0,1.3044521651609475,1.1710637732397151,0.568
4,Group Norm,sgd,0.001,0.9,0,1.1296475009845042,1.1873862788647036,0.5729
5,Group Norm,sgd,0.001,0.9,0,1.0064017536390164,1.0238761320898804,0.6352
6,Group Norm,sgd,0.001,0.9,0,0.9026167651881343,0.896880030632019,0.6838
7,Group Norm,sgd,0.001,0.9,0,0.7957678475343358,0.8621567170831221,0.6913
8,Group Norm,sgd,0.001,0.9,0,0.7308388157268925,0.7856093049049377,0.7226
9,Group Norm,sgd,0.001,0.9,0,0.6481159650303824,0.816138125673125,0.7198
10,Group Norm,sgd,0.001,0.9,0,0.5901265893598346,0.7466284787353081,0.7386
11,Group Norm,sgd,0.001,0.9,0,0.5242533178433127,0.7407799770560446,0.748
12,Group Norm,sgd,0.001,0.9,0,0.4572123232704904,0.7399223220499256,0.7472
13,Group Norm,sgd,0.001,0.9,0,0.40685137347949435,0.757292191439037,0.7578
14,Group Norm,sgd,0.001,0.9,0,0.33713471645589377,0.7458822712113585,0.7633
15,Group Norm,sgd,0.001,0.9,0,0.28015291603172526,0.8094605324389059,0.7571
16,Group Norm,sgd,0.001,0.9,0,0.25217833244206045,0.9672747782514065,0.7189
17,Group Norm,sgd,0.001,0.9,0,0.2328427996095794,0.8982329866554164,0.7497
18,Group Norm,sgd,0.001,0.9,0,0.16340993214255708,0.8935047041011762,0.7557
19,Group Norm,sgd,0.001,0.9,0,0.13272550398164698,0.9324528039256229,0.7612
20,Group Norm,sgd,0.001,0.9,0,0.07794509894307465,0.9179833150362666,0.7693
21,Group Norm,sgd,0.001,0.9,0,0.01618394700815077,0.8515408133404164,0.7961
22,Group Norm,sgd,0.001,0.9,0,0.004090563093116769,0.8585361770436734,0.7977
23,Group Norm,sgd,0.001,0.9,0,0.0028318472818740646,0.8662927701503416,0.8013
24,Group Norm,sgd,0.001,0.9,0,0.0022568755048920242,0.8716660647452632,0.8002
25,Group Norm,sgd,0.001,0.9,0,0.0019038052100430974,0.8815899559214145,0.8011
26,Group Norm,sgd,0.001,0.9,0,0.0016605581237000824,0.8872878400585319,0.8001
27,Group Norm,sgd,0.001,0.9,0,0.001477147279101212,0.8927157596696781,0.8013
28,Group Norm,sgd,0.001,0.9,0,0.0013370986365715562,0.8982166232942026,0.8009
29,Group Norm,sgd,0.001,0.9,0,0.0012187664227350555,0.9024950197980374,0.8021
30,Group Norm,sgd,0.001,0.9,0,0.0011233586631596202,0.9077353892447073,0.8019
31,Group Norm,sgd,0.001,0.9,0,0.0010469382354284607,0.9084273674820043,0.8013
32,Group Norm,sgd,0.001,0.9,0,0.0010220724602510957,0.91007734929459,0.8013
33,Group Norm,sgd,0.001,0.9,0,0.0009990617876415096,0.9113815374012235,0.8015
34,Group Norm,sgd,0.001,0.9,0,0.0009772660790721092,0.9125520353075824,0.8016
35,Group Norm,sgd,0.001,0.9,0,0.0009563357911377555,0.9135958688168586,0.8016
36,Group Norm,sgd,0.001,0.9,0,0.0009366593968547176,0.9148379096501991,0.8014
37,Group Norm,sgd,0.001,0.9,0,0.0009172817385788826,0.9164508203916912,0.8014
38,Group Norm,sgd,0.001,0.9,0,0.0008987853609625717,0.9178874213484269,0.8021
39,Group Norm,sgd,0.001,0.9,0,0.000881235938399549,0.918976989727986,0.8016
40,Group Norm,sgd,0.001,0.9,0,0.0008643474356155804,0.9201342946366419,0.8016
41,Group Norm,sgd,0.001,0.9,0,0.0008490731985227245,0.9204529305047626,0.8016
42,Group Norm,sgd,0.001,0.9,0,0.000843466844295373,0.9208164788499663,0.8016
43,Group Norm,sgd,0.001,0.9,0,0.0008390362090443063,0.9212660253802433,0.8016
44,Group Norm,sgd,0.001,0.9,0,0.0008338482374155089,0.9216582043261468,0.8017
45,Group Norm,sgd,0.001,0.9,0,0.0008288463008949709,0.9219483816170995,0.8015
46,Group Norm,sgd,0.001,0.9,0,0.0008245958068171073,0.922208620777613,0.8017
47,Group Norm,sgd,0.001,0.9,0,0.0008187716468916182,0.922565139547179,0.8017
48,Group Norm,sgd,0.001,0.9,0,0.000814217897227315,0.9229867888402336,0.8016
49,Group Norm,sgd,0.001,0.9,0,0.0008098072866769865,0.9233043269266056,0.8018
50,Group Norm,sgd,0.001,0.9,0,0.0008048439581367566,0.9237809226482729,0.8018
1,Group Norm,sgd,0.01,0.5,0,2.4118065334037135,1.8345256063002575,0.2923
2,Group Norm,sgd,0.01,0.5,0,1.7717325278865101,1.7032339995420431,0.3668
3,Group Norm,sgd,0.01,0.5,0,1.5400613232341873,1.5666762318792222,0.404
4,Group Norm,sgd,0.01,0.5,0,1.3793689558268203,1.4610613810865185,0.4645
5,Group Norm,sgd,0.01,0.5,0,1.2320424611001368,1.4718636229068418,0.4747
6,Group Norm,sgd,0.01,0.5,0,1.0899938276356749,1.1169336309915856,0.6081
7,Group Norm,sgd,0.01,0.5,0,0.9998488008518658,0.9526002482522892,0.6678
8,Group Norm,sgd,0.01,0.5,0,0.9006177786061221,1.171411411671699,0.5926
9,Group Norm,sgd,0.01,0.5,0,0.824576259574012,1.1021967960309378,0.6289
10,Group Norm,sgd,0.01,0.5,0,0.7461240588856475,0.8932551522798176,0.6969
11,Group Norm,sgd,0.01,0.5,0,0.6775835071073468,0.9853865564623966,0.6694
12,Group Norm,sgd,0.01,0.5,0,0.6083952937742023,0.7640164962297753,0.743
13,Group Norm,sgd,0.01,0.5,0,0.5503359748731793,0.8139916130259067,0.7266
14,Group Norm,sgd,0.01,0.5,0,0.4975396590235898,0.8777753899369058,0.7232
15,Group Norm,sgd,0.01,0.5,0,0.45510976195640274,0.7926543777502035,0.7481
16,Group Norm,sgd,0.01,0.5,0,0.3901563318412932,0.8395560806310629,0.7408
17,Group Norm,sgd,0.01,0.5,0,0.3536049723625183,0.7427071151854117,0.7691
18,Group Norm,sgd,0.01,0.5,0,0.29818252338777723,0.735440813287904,0.7735
19,Group Norm,sgd,0.01,0.5,0,0.2479282866048691,0.8261630878418307,0.7538
20,Group Norm,sgd,0.01,0.5,0,0.22202321174352066,0.911478851414934,0.745
21,Group Norm,sgd,0.01,0.5,0,0.04757574618415302,0.7662289587757255,0.8027
22,Group Norm,sgd,0.01,0.5,0,0.013401641313920317,0.7946004245100142,0.806
23,Group Norm,sgd,0.01,0.5,0,0.006446257295549068,0.811934169711946,0.8073
24,Group Norm,sgd,0.01,0.5,0,0.004124841768928158,0.831691459009919,0.8057
25,Group Norm,sgd,0.01,0.5,0,0.003038119439862173,0.8487140887145754,0.8063
26,Group Norm,sgd,0.01,0.5,0,0.0024166064678698474,0.8589451460144187,0.8069
27,Group Norm,sgd,0.01,0.5,0,0.002013101326742345,0.8709848164757595,0.8083
28,Group Norm,sgd,0.01,0.5,0,0.0017290526661304924,0.8804742965517165,0.8074
29,Group Norm,sgd,0.01,0.5,0,0.001510222624961163,0.8887201147743419,0.8089
30,Group Norm,sgd,0.01,0.5,0,0.0013406982685884705,0.8990163674837426,0.8082
31,Group Norm,sgd,0.01,0.5,0,0.001214364562314623,0.899064345450341,0.8087
32,Group Norm,sgd,0.01,0.5,0,0.0011740096432664205,0.9017041906525817,0.8084
33,Group Norm,sgd,0.01,0.5,0,0.0011370138835657359,0.903657249634779,0.8085
34,Group Norm,sgd,0.01,0.5,0,0.00110252338010208,0.9064470544646058,0.8085
35,Group Norm,sgd,0.01,0.5,0,0.0010694566366198422,0.9077724622020239,0.8085
36,Group Norm,sgd,0.01,0.5,0,0.001038492520880478,0.9096046339107465,0.8083
37,Group Norm,sgd,0.01,0.5,0,0.0010089232895077894,0.9122580108763296,0.8078
38,Group Norm,sgd,0.01,0.5,0,0.0009815699957243268,0.914331667030914,0.8077
39,Group Norm,sgd,0.01,0.5,0,0.000954896103396602,0.9161429522158224,0.8079
40,Group Norm,sgd,0.01,0.5,0,0.0009302312068765044,0.9181168633925764,0.8078
41,Group Norm,sgd,0.01,0.5,0,0.0009082282451666234,0.9187207172943067,0.8079
42,Group Norm,sgd,0.01,0.5,0,0.0009000319697985859,0.9193528984920888,0.8079
43,Group Norm,sgd,0.01,0.5,0,0.0008929908370731346,0.9199485031864311,0.8079
44,Group Norm,sgd,0.01,0.5,0,0.00088512670883523,0.92064169049263,0.808
45,Group Norm,sgd,0.01,0.5,0,0.0008780837224711857,0.9211627954169165,0.8083
46,Group Norm,sgd,0.01,0.5,0,0.0008711042685780789,0.9217995552322532,0.8081
47,Group Norm,sgd,0.01,0.5,0,0.0008634164276005238,0.922399934334091,0.8083
48,Group Norm,sgd,0.01,0.5,0,0.0008569276820042926,0.922895945702927,0.8084
49,Group Norm,sgd,0.01,0.5,0,0.0008502158526446709,0.9235075402863419,0.8082
50,Group Norm,sgd,0.01,0.5,0,0.0008428557507206669,0.9240546818775467,0.8083
1,Group Norm,sgd,0.01,0.9,0,2.982882835980876,2.1335345702835276,0.2088
2,Group Norm,sgd,0.01,0.9,0,1.9464640772860984,1.8099174484421936,0.3255
3,Group Norm,sgd,0.01,0.9,0,1.6258777315964175,1.4599822593640677,0.4591
4,Group Norm,sgd,0.01,0.9,0,1.433003547856265,1.4290119650997692,0.4719
5,Group Norm,sgd,0.01,0.9,0,1.2435861676550277,1.3404984096937542,0.5072
