Epochs,Train Loss Average,Test Loss,Test accuracy
0,1.1765063873497685,7.839185954284668,0.1
1,0.8891725595815851,2.9780006214141848,0.1
2,0.734028030379489,2.82665740814209,0.119
3,0.7158682048859448,2.7787310817718507,0.1229
4,0.7010167887260765,2.739061092758179,0.1169
5,0.6954100518705697,2.7349156675338744,0.1206
6,0.6834519165954738,2.7572044975280763,0.1173
7,0.6690980764506758,2.783908963012695,0.1383
8,0.6609166591136902,2.7254166955947876,0.1382
9,0.6476814356139303,2.7667784227371217,0.1381
10,0.6370302109705657,2.724447414588928,0.1408
11,0.6330981729406864,2.677689719390869,0.1433
12,0.6250988832145185,2.6825671409606935,0.1447
13,0.6120430127819069,2.7381711181640624,0.1497
14,0.6085897276815773,2.719012436294556,0.1477
15,0.6050853359677643,2.7313256032943727,0.1464
16,0.5916991810923442,2.7668056880950926,0.143
17,0.5895882275005803,2.6775639474868775,0.1511
18,0.5850701822438464,2.7410324256896974,0.1499
19,0.5775179136833921,2.7412014808654783,0.1481
20,0.5699788001355156,2.705222536087036,0.1528
21,0.5723811503819375,2.688136328125,0.1512
22,0.5656034934959189,2.705068847846985,0.1563
23,0.561196550636925,2.656672434425354,0.1574
24,0.5557727310018613,2.6527692132949827,0.1536
25,0.5529349310214258,2.6680812982559203,0.1562
26,0.5431832482474855,2.6766213260650633,0.1524
27,0.5403442920862138,2.65101313419342,0.1571
28,0.5358202380507067,2.6285973371505738,0.1625
29,0.533625795806758,2.6610163902282715,0.1638
30,0.530394270471111,2.616421823501587,0.1647
31,0.5329502202146313,2.6495630041122435,0.1644
32,0.5233370423010364,2.661304109954834,0.1604
33,0.5174128247130196,2.655737474632263,0.1652
34,0.5253039014810696,2.629368964385986,0.1658
35,0.5176855404702387,2.5859838884353636,0.1731
36,0.5117557377349213,2.6579810052871706,0.1643
37,0.513402967580445,2.615904645729065,0.1688
38,0.5138053089540824,2.555711431884766,0.1753
39,0.5062985496086256,2.6056920846939087,0.17
40,0.5007024409884309,2.6062110647201537,0.1756
41,0.502027927058069,2.621015536117554,0.1716
42,0.49536432012652043,2.584586950683594,0.1707
43,0.49254315918016245,2.5825108015060425,0.173
44,0.4929038306841999,2.548856107139587,0.182
45,0.48605897197000675,2.579300577926636,0.1765
46,0.4899425861027371,2.5530956565856933,0.1785
47,0.48174815230276435,2.550180515098572,0.1816
48,0.48771223589290863,2.5186741579055787,0.1782
49,0.486251336884927,2.548032576751709,0.1806
