Epochs,Train Loss Average,Test Loss,Test accuracy
0,0.6788271224737144,5.24958606300354,0.1
1,0.7816833190752753,3.07455945854187,0.1
2,0.718029014700912,2.7223961929321288,0.1
3,0.6941529360935836,2.632645923805237,0.1
4,0.6842895087608322,2.6081431049346926,0.1
5,0.6755676380258054,2.5737602111816407,0.1
6,0.6657746327148749,2.576995852661133,0.1108
7,0.653458250569962,2.5496809577941892,0.1174
8,0.6540921062743663,2.5655052097320556,0.1132
9,0.6378565415005386,2.582174585723877,0.1157
10,0.6417358865988255,2.567478002166748,0.1201
11,0.6418765472427754,2.5633491039276124,0.1296
12,0.6256859922220931,2.564379232788086,0.1346
13,0.6173145813953318,2.5819125633239746,0.1338
14,0.6219378404403292,2.568583852958679,0.1359
15,0.6043395051309839,2.569066576957703,0.1434
16,0.5977672337174601,2.5894343053817748,0.1458
17,0.5982898513561488,2.5651823526382445,0.1505
18,0.5962966317717265,2.580699651527405,0.1565
19,0.5871274783519284,2.6106071395874024,0.1486
20,0.5796336192616075,2.6051973012924194,0.1506
21,0.5838487209856883,2.5905420337677003,0.1543
22,0.5719862092501298,2.63202760925293,0.154
23,0.5636932110707089,2.6225519079208373,0.1554
24,0.5640966704354808,2.6402651861190796,0.1485
25,0.5617310306641087,2.642347457885742,0.1515
26,0.5575563952280209,2.6182754415512086,0.1614
27,0.5501872541142255,2.6197038972854614,0.1558
28,0.5423341955903545,2.625661364555359,0.16
29,0.5404311474338359,2.65135402507782,0.1524
30,0.5387713644190318,2.6466056510925293,0.1531
31,0.5323860209914297,2.590395153427124,0.1608
32,0.5287491253075561,2.608496247291565,0.1642
33,0.5273128908786922,2.6177497163772583,0.1675
34,0.5275497339424491,2.616998794174194,0.1711
35,0.527912935041245,2.6225755809783937,0.1645
36,0.5178926857681573,2.6266049467086794,0.1669
37,0.5124890706385112,2.6106397230148315,0.1703
38,0.5155657163728866,2.637941265487671,0.1738
39,0.5079717756542936,2.627823267745972,0.1719
40,0.502425576173123,2.5953547998428346,0.1741
41,0.5100814966617152,2.602616926765442,0.176
42,0.4995044276598842,2.61261917591095,0.1785
43,0.4935144361892994,2.604852137565613,0.1745
44,0.4950664672338031,2.6214930223464967,0.1779
45,0.4944540514170007,2.603565599632263,0.1768
46,0.4848355457149446,2.6050256616592407,0.1735
47,0.4856740582646615,2.6125089199066163,0.1701
48,0.4852097833456285,2.5894185647964476,0.1749
49,0.48296736035544424,2.6180226961135866,0.1724
