Epochs,Train Loss Average,Test Loss,Test accuracy
0,0.5575816186109795,6.048397849655151,0.1
1,0.5341141293110478,3.8852165294647216,0.1
2,0.4832200643650296,3.0984123260498047,0.1
3,0.46561075112281325,3.177381241989136,0.1
4,0.45330540014572335,3.012278151321411,0.1
5,0.4426602390168763,3.0991685749053954,0.1
6,0.4338274428537582,3.1104105056762696,0.1
7,0.42139641146515505,3.388475603103638,0.1
8,0.4161532153748072,3.6870767337799073,0.1
9,0.4131557006635326,4.066254809570313,0.1
10,0.41093869146269146,4.046099087905883,0.1001
11,0.40543056685041623,3.538631785583496,0.1019
12,0.40511398355255945,3.9611922927856447,0.101
13,0.3981338163983858,4.233777328872681,0.1
14,0.3965812253253113,4.022953226089477,0.1004
15,0.39034738204765224,4.075552451324463,0.1003
16,0.38833110440788154,4.170608069229126,0.1004
17,0.3895777108165864,4.284743146896362,0.1013
18,0.3818930404888836,4.371018182754517,0.1005
19,0.38070635403533687,4.08863589553833,0.1019
20,0.38218874115318446,4.507559035110473,0.1008
21,0.3808935047980667,4.310297949981689,0.1001
22,0.3756184889638242,4.492603986358643,0.1007
23,0.3693847760019397,4.474508798217774,0.1012
24,0.3733278697740148,4.938353115844727,0.0999
25,0.37205211973099195,4.986102848434448,0.1001
26,0.3672198483974414,4.876727835083008,0.1006
27,0.36569358036103367,5.088613459396362,0.1002
28,0.36588939813213767,5.142265311431885,0.1001
29,0.36716580583120983,4.89820424118042,0.1005
30,0.3632950823501527,4.47771940536499,0.1015
31,0.3613809335200393,4.867400716781616,0.1003
32,0.36071325444296387,4.627005798339844,0.1009
33,0.3570080290152913,4.850573264312744,0.1006
34,0.35420440858891333,4.551449384307861,0.1009
35,0.35097081473006414,4.646285939025879,0.0999
36,0.3482179256982169,4.586148235321045,0.1006
37,0.34764480030296163,4.618192332458496,0.1006
38,0.3472578727313917,4.825532141113281,0.1002
39,0.34905289928794125,4.7656047199249265,0.1002
40,0.34218648168850124,4.576528776168823,0.1006
41,0.343522373627005,4.854467574691772,0.1002
42,0.34299629654727365,4.955711528778076,0.1006
43,0.3428919225643097,4.90703406906128,0.1001
44,0.3369060224849053,4.940099373245239,0.0999
45,0.33958396153798354,4.8826986503601075,0.1002
46,0.33557870246308064,5.007419536590576,0.1002
47,0.333563130506176,4.964217098617554,0.1006
48,0.3342455497001154,5.182611768341064,0.1004
49,0.3352862263511112,5.168575798797607,0.1006
