Epochs,Train Loss Average,Test Loss,Test accuracy
0,0.3667602484300732,2.535844350162941,0.1
1,0.3667602484300732,2.468239440193659,0.1
2,0.3667602484300732,2.4470121649247183,0.1096
3,0.3667602484300732,2.40600262412542,0.1016
4,0.3667602484300732,2.4184705124625676,0.1727
5,0.3667602484300732,2.390062344225147,0.1415
6,0.3667602484300732,2.2939865166627906,0.1753
7,0.3667602484300732,2.3429852950422068,0.1479
8,0.3667602484300732,2.2941061756278893,0.1781
9,0.3667602484300732,2.4467317394063444,0.1644
10,0.3667602484300732,2.27825241451022,0.1876
11,0.3667602484300732,2.3054103187367887,0.1982
12,0.3667602484300732,2.2229304645634906,0.1791
13,0.3667602484300732,2.216003976290739,0.1827
14,0.3667602484300732,2.216366964050486,0.1702
15,0.3667602484300732,2.286403260653532,0.2015
16,0.3667602484300732,2.1985138669798645,0.1761
17,0.3667602484300732,2.2391841713386245,0.2084
18,0.3667602484300732,2.2164339068569716,0.1774
19,0.3667602484300732,2.166894971569882,0.2123
20,0.3667602484300732,2.2304771580273592,0.1693
21,0.3667602484300732,2.1586715360231037,0.2062
22,0.3667602484300732,2.2120949497705773,0.1618
23,0.3667602484300732,2.2199217820469337,0.2215
24,0.3667602484300732,2.221550235265418,0.1855
25,0.3667602484300732,2.2054351160797894,0.2181
26,0.3667602484300732,2.16836171814158,0.213
27,0.3667602484300732,2.161106993880453,0.221
28,0.3667602484300732,2.1787925792645804,0.2129
29,0.3667602484300732,2.1681810330741014,0.2247
30,0.3667602484300732,2.1700336027748977,0.2321
31,0.3667602484300732,2.1423978413207623,0.2138
32,0.3667602484300732,2.1396449683587764,0.2354
33,0.3667602484300732,2.2351920499077327,0.2293
34,0.3667602484300732,2.127938674975045,0.2514
35,0.3667602484300732,2.1134130004086074,0.2249
36,0.3667602484300732,2.159411967555179,0.23
37,0.3667602484300732,2.151184466820729,0.2418
38,0.3667602484300732,2.111893539187274,0.2574
39,0.3667602484300732,2.1098780420762075,0.237
40,0.3667602484300732,2.0883852952643287,0.2374
41,0.3667602484300732,2.1107436886316613,0.2366
42,0.3667602484300732,2.0953995185562326,0.254
43,0.3667602484300732,2.1478463154804857,0.2427
44,0.3667602484300732,2.0392241538325444,0.2686
45,0.3667602484300732,2.112350231484522,0.248
46,0.3667602484300732,2.1175491538228868,0.2339
47,0.3667602484300732,2.0728276077705092,0.2475
48,0.3667602484300732,2.054146606710893,0.2677
49,0.3667602484300732,2.0579006837893137,0.2406
