round,test_acc,test_loss,norm,scenario
1,0.366739187763713,2.06523288151383,BN,fedgkt iid balanced
2,0.38967233649789,2.81884508817005,BN,fedgkt iid balanced
3,0.463043908227848,2.25750323000839,BN,fedgkt iid balanced
4,0.484005801687764,2.05683573579989,BN,fedgkt iid balanced
5,0.49657832278481,1.93219171878155,BN,fedgkt iid balanced
6,0.509322257383966,1.86941064475458,BN,fedgkt iid balanced
7,0.529891877637131,1.79469463840316,BN,fedgkt iid balanced
8,0.542886339662447,1.73585950780015,BN,fedgkt iid balanced
9,0.549449498945148,1.69964032628365,BN,fedgkt iid balanced
10,0.563614187763713,1.64236686269945,BN,fedgkt iid balanced
11,0.569580696202532,1.60186617555498,BN,fedgkt iid balanced
12,0.581022547468354,1.55530165765859,BN,fedgkt iid balanced
13,0.595454245780591,1.50586092101119,BN,fedgkt iid balanced
14,0.601598760548523,1.4696303102789,BN,fedgkt iid balanced
15,0.607726793248945,1.42234385863638,BN,fedgkt iid balanced
16,0.616841376582279,1.3891678159247,BN,fedgkt iid balanced
17,0.620427874472574,1.40037476553696,BN,fedgkt iid balanced
18,0.629552347046413,1.35555888914861,BN,fedgkt iid balanced
19,0.637658227848101,1.3287877983559,BN,fedgkt iid balanced
20,0.644307093881857,1.30153611711057,BN,fedgkt iid balanced
21,0.656398338607595,1.26327626947864,BN,fedgkt iid balanced
22,0.658214662447257,1.25471860116293,BN,fedgkt iid balanced
23,0.659496967299578,1.26320790493161,BN,fedgkt iid balanced
24,0.666778744725738,1.21540287111882,BN,fedgkt iid balanced
25,0.674456091772152,1.18946399068782,BN,fedgkt iid balanced
26,0.680040216244726,1.16097972010761,BN,fedgkt iid balanced
27,0.684747494725738,1.13803314044129,BN,fedgkt iid balanced
28,0.689029535864979,1.12471575216402,BN,fedgkt iid balanced
29,0.692784150843882,1.11689753509775,BN,fedgkt iid balanced
30,0.698173786919831,1.10957863823774,BN,fedgkt iid balanced
31,0.702521756329114,1.08080793041972,BN,fedgkt iid balanced
32,0.707650975738397,1.06904489726834,BN,fedgkt iid balanced
33,0.712981276371308,1.05489812109792,BN,fedgkt iid balanced
34,0.715440400843882,1.04197495311247,BN,fedgkt iid balanced
35,0.718548918776371,1.01670212973271,BN,fedgkt iid balanced
36,0.721868407172996,0.999079496410325,BN,fedgkt iid balanced
37,0.73160930907173,0.975292165784896,BN,fedgkt iid balanced
38,0.734704641350211,0.961637969585411,BN,fedgkt iid balanced
39,0.740097573839662,0.949016730305012,BN,fedgkt iid balanced
40,0.736194620253165,0.954593438086127,BN,fedgkt iid balanced
41,0.744330168776371,0.92758237847799,BN,fedgkt iid balanced
42,0.748740770042194,0.915881100923357,BN,fedgkt iid balanced
43,0.746222310126582,0.923180289189272,BN,fedgkt iid balanced
44,0.752310785864979,0.908648077074737,BN,fedgkt iid balanced
45,0.755564345991561,0.894635374850362,BN,fedgkt iid balanced
46,0.759635416666667,0.889275191812324,BN,fedgkt iid balanced
47,0.760696861814346,0.873193626272402,BN,fedgkt iid balanced
48,0.761573707805907,0.86835625811091,BN,fedgkt iid balanced
49,0.765298655063291,0.860354135106888,BN,fedgkt iid balanced
50,0.767892932489452,0.845661495060106,BN,fedgkt iid balanced
