round,test_acc,test_loss,norm,scenario
1,0.141574367088608,2.50906139597108,BN,fedgkt noniid balanced
2,0.162216508438819,2.67531191749412,BN,fedgkt noniid balanced
3,0.180841244725738,2.44446037781389,BN,fedgkt noniid balanced
4,0.193519251054852,2.8622068360385,BN,fedgkt noniid balanced
5,0.181190664556962,2.82079089578194,BN,fedgkt noniid balanced
6,0.199924182489451,2.56147284331704,BN,fedgkt noniid balanced
7,0.19290611814346,3.35162160587713,BN,fedgkt noniid balanced
8,0.207512526371308,2.79742049999881,BN,fedgkt noniid balanced
9,0.197115638185654,2.46015214743996,BN,fedgkt noniid balanced
10,0.213924050632911,2.54097186271651,BN,fedgkt noniid balanced
11,0.198622099156118,2.70323033604441,BN,fedgkt noniid balanced
12,0.223760548523207,2.61006655758443,BN,fedgkt noniid balanced
13,0.187275843881857,2.92600938323178,BN,fedgkt noniid balanced
14,0.200299973628692,4.46588184134367,BN,fedgkt noniid balanced
15,0.230729166666667,2.77951017140336,BN,fedgkt noniid balanced
16,0.229611682489451,2.92339312617789,BN,fedgkt noniid balanced
17,0.212536260548523,3.43593293438481,BN,fedgkt noniid balanced
18,0.204087552742616,3.85112448895531,BN,fedgkt noniid balanced
19,0.225240638185654,2.76408908216259,BN,fedgkt noniid balanced
20,0.199591244725738,2.96564769176491,BN,fedgkt noniid balanced
21,0.219623549578059,3.17962766966236,BN,fedgkt noniid balanced
22,0.210449630801688,2.7473861832156,BN,fedgkt noniid balanced
23,0.225220859704641,3.32682485555295,BN,fedgkt noniid balanced
24,0.244010416666667,3.12396770569846,BN,fedgkt noniid balanced
25,0.205623681434599,3.80047572997049,BN,fedgkt noniid balanced
26,0.203006329113924,3.22660477020569,BN,fedgkt noniid balanced
27,0.220009229957806,2.93501737077528,BN,fedgkt noniid balanced
28,0.240308544303797,3.07333827008678,BN,fedgkt noniid balanced
29,0.227083333333333,3.33807389534978,BN,fedgkt noniid balanced
30,0.240852452531646,3.73360384934059,BN,fedgkt noniid balanced
31,0.228896360759494,3.33427863880552,BN,fedgkt noniid balanced
32,0.2403118407173,3.4654798745103,BN,fedgkt noniid balanced
33,0.225708728902954,3.67897728691624,BN,fedgkt noniid balanced
34,0.228902953586498,4.35166934864431,BN,fedgkt noniid balanced
35,0.217223760548523,4.02705300970923,BN,fedgkt noniid balanced
36,0.242108386075949,3.47128259270503,BN,fedgkt noniid balanced
37,0.195022415611814,4.00031061715718,BN,fedgkt noniid balanced
38,0.248638581223629,3.21484964472332,BN,fedgkt noniid balanced
39,0.220701476793249,3.78912918758795,BN,fedgkt noniid balanced
40,0.24400052742616,3.86328935633229,BN,fedgkt noniid balanced
41,0.232581751054852,3.15665428054987,BN,fedgkt noniid balanced
42,0.223569356540084,3.25231186277253,BN,fedgkt noniid balanced
43,0.202053665611814,4.06898821255326,BN,fedgkt noniid balanced
44,0.221021228902954,3.53423101353746,BN,fedgkt noniid balanced
45,0.233287183544304,3.47306170212066,BN,fedgkt noniid balanced
46,0.202347046413502,3.49678910180989,BN,fedgkt noniid balanced
47,0.222893591772152,3.38046988691459,BN,fedgkt noniid balanced
48,0.21251648206751,3.21479429876754,BN,fedgkt noniid balanced
49,0.229413897679325,2.78409026463826,BN,fedgkt noniid balanced
50,0.211801160337553,2.81949216067036,BN,fedgkt noniid balanced
