round,test_acc,test_loss,norm,scenario
1,0.369982858649789,1.76418368776136,GN,fedgkt iid balanced
2,0.406075290084388,1.70214627976156,GN,fedgkt iid balanced
3,0.442988528481013,1.61273966574971,GN,fedgkt iid balanced
4,0.449607726793249,1.68246422397436,GN,fedgkt iid balanced
5,0.456160996835443,1.77435716347855,GN,fedgkt iid balanced
6,0.438729562236287,2.08145235419776,GN,fedgkt iid balanced
7,0.465509625527426,1.94814377550334,GN,fedgkt iid balanced
8,0.478461234177215,2.05300514333359,GN,fedgkt iid balanced
9,0.45924973628692,2.26674323177539,GN,fedgkt iid balanced
10,0.484895833333333,2.15170330055655,GN,fedgkt iid balanced
11,0.496832146624473,2.13958276568083,GN,fedgkt iid balanced
12,0.519699367088608,2.09031408600163,GN,fedgkt iid balanced
13,0.532044435654008,2.02809557099886,GN,fedgkt iid balanced
14,0.545144382911392,2.02595000918404,GN,fedgkt iid balanced
15,0.583722310126582,1.76456752660908,GN,fedgkt iid balanced
16,0.567477584388186,1.91528668293596,GN,fedgkt iid balanced
17,0.586804456751055,1.80281997438725,GN,fedgkt iid balanced
18,0.59242154535865,1.78917806192541,GN,fedgkt iid balanced
19,0.584516745780591,1.84629984339581,GN,fedgkt iid balanced
20,0.611563818565401,1.75268940978412,GN,fedgkt iid balanced
21,0.628190928270042,1.61367009943548,GN,fedgkt iid balanced
22,0.630574235232067,1.59996029817605,GN,fedgkt iid balanced
23,0.637364847046414,1.59399659558188,GN,fedgkt iid balanced
24,0.64518723628692,1.53159684098723,GN,fedgkt iid balanced
25,0.652436049578059,1.51892581941709,GN,fedgkt iid balanced
26,0.655996176160337,1.50172888712038,GN,fedgkt iid balanced
27,0.671924446202532,1.41164829393982,GN,fedgkt iid balanced
28,0.678715058016878,1.39476224609065,GN,fedgkt iid balanced
29,0.678052478902954,1.40891230745783,GN,fedgkt iid balanced
30,0.681460970464135,1.37234341810273,GN,fedgkt iid balanced
31,0.691271097046414,1.33048370870986,GN,fedgkt iid balanced
32,0.6925006592827,1.3256441326081,GN,fedgkt iid balanced
33,0.694066455696203,1.31878057757888,GN,fedgkt iid balanced
34,0.700435126582279,1.28888220101721,GN,fedgkt iid balanced
35,0.707018064345992,1.24628818535604,GN,fedgkt iid balanced
36,0.706945543248945,1.25199275451873,GN,fedgkt iid balanced
37,0.706226925105485,1.26245455087992,GN,fedgkt iid balanced
38,0.71303072257384,1.22607849166112,GN,fedgkt iid balanced
39,0.716613924050633,1.22273326794055,GN,fedgkt iid balanced
40,0.719834520042194,1.17832021651011,GN,fedgkt iid balanced
41,0.719857594936709,1.18083244467838,GN,fedgkt iid balanced
42,0.72753164556962,1.1531339297189,GN,fedgkt iid balanced
43,0.729756724683544,1.13312714450722,GN,fedgkt iid balanced
44,0.737691191983122,1.11255805288689,GN,fedgkt iid balanced
45,0.732285073839662,1.12891822468002,GN,fedgkt iid balanced
46,0.735555116033755,1.10157808171043,GN,fedgkt iid balanced
47,0.74199960443038,1.06789343341996,GN,fedgkt iid balanced
48,0.744010416666667,1.06253815812652,GN,fedgkt iid balanced
49,0.745882779535865,1.06865932102696,GN,fedgkt iid balanced
50,0.748836366033755,1.05336816121632,GN,fedgkt iid balanced
