Epochs,Train Loss Average,Test Loss,Test accuracy
0,0.796313734807074,2.6941220691204073,0.1
1,0.738417455278337,3.0006908378601076,0.1
2,0.6784017095744611,2.924333479523659,0.1061
3,0.6359389184951783,2.9848240786790847,0.1435
4,0.6054187348768114,2.953932366132736,0.1503
5,0.5775935272321104,2.955597238302231,0.1556
6,0.5666483957499265,3.1432017290592196,0.1483
7,0.5448197292253375,3.0174795895814897,0.1576
8,0.533383342371881,3.1986384592056276,0.1538
9,0.5225744763929396,3.1841346234083177,0.1555
10,0.5120458406671882,3.204514801979065,0.1561
11,0.5115141684778035,3.1684840428829193,0.1571
12,0.49813860808610927,3.186917229771614,0.1549
13,0.49186642734259367,3.17354965531826,0.1593
14,0.4832910481683911,3.240387087464333,0.1602
15,0.4803123151779175,3.1754772551059722,0.1625
16,0.47178567584306,3.250801504611969,0.1607
17,0.46243226440772417,3.1676125420331953,0.1638
18,0.4569327276207507,3.1822905535697936,0.1676
19,0.44980290840938686,3.236520612001419,0.1672
20,0.44180754419565205,3.1699675644636156,0.1668
21,0.4397578840650618,3.1333745520114897,0.1694
22,0.4320978393722326,3.198735245704651,0.1636
23,0.422015701475367,3.295665809631348,0.1655
24,0.41819622597098355,3.280231909751892,0.1718
25,0.4121295378051698,3.1625621703863143,0.1744
26,0.40199129469469186,3.2405968952178954,0.177
27,0.401564165559411,3.239114044427872,0.1719
28,0.3968596289176494,3.174305024266243,0.181
29,0.3872165085479617,3.4039085298776626,0.1705
30,0.39463609214872114,3.1799441801309585,0.1802
31,0.3839523340586573,3.179991485595703,0.1825
32,0.37226236267201596,3.116392835021019,0.188
33,0.3753421962715685,3.121237608075142,0.1879
34,0.3634634871348738,3.16340530526638,0.1884
35,0.37276757804509253,3.19070583152771,0.1911
36,0.35851101911179717,3.2353995481729507,0.1865
37,0.35832605888582764,3.18651350748539,0.1904
38,0.35828959446996456,3.0942395128011704,0.1983
39,0.34654094317369166,3.109248054742813,0.1966
40,0.3494610486138612,3.1669204077720643,0.1911
41,0.34646501969993115,3.187885398387909,0.1902
42,0.336975869203452,3.1187358835935592,0.2031
43,0.33164862472303214,3.1385372620821,0.1985
44,0.3254596904547885,3.114265145778656,0.2104
45,0.32985592964682725,3.1379160264730452,0.2092
46,0.3210566497478634,3.112301581144333,0.2169
47,0.32131977527774874,3.0917971532344817,0.2087
48,0.31778550474513323,3.187550397634506,0.2032
49,0.31612268109396097,3.257265615105629,0.2057
