Epochs,Train Loss Average,Test Loss,Test accuracy
0,0.36532521543040064,3.2631245806217195,0.1
1,0.4965765921809167,3.1907778358459473,0.1
2,0.46090244121883295,3.01876799929142,0.1103
3,0.4328441033418911,3.3550389469861983,0.1089
4,0.4274638028484536,3.602488818526268,0.1275
5,0.4077516565228347,3.728465063214302,0.1448
6,0.4063406578752871,4.659202837228775,0.1217
7,0.3975992033443724,4.936266290426254,0.1366
8,0.3941799899330285,5.314939366936684,0.1451
9,0.38767673569517214,5.667184066176414,0.1435
10,0.37842123156703694,5.83106618475914,0.1412
11,0.3762676851774411,6.395622267246246,0.137
12,0.3721889148397759,6.364986456036568,0.145
13,0.36745968934216855,6.714874754190445,0.1395
14,0.3653315798445916,6.883036182403565,0.1421
15,0.3619566164873618,7.713010230541229,0.1372
16,0.35711120102948035,7.6474257745742795,0.1418
17,0.3534622184084185,8.265580884933472,0.1423
18,0.34673416259745915,8.442324917674064,0.139
19,0.3410541866064615,8.545648537397385,0.1452
20,0.3384404468332883,8.987744406461715,0.1412
21,0.33420223933801363,9.328997385978699,0.1504
22,0.3340501675937558,9.496186424970627,0.1535
23,0.32789354387475955,9.599050907611847,0.1582
24,0.32335277661511985,9.691482983112335,0.1604
25,0.32394429312569556,9.765496029615402,0.164
26,0.3167392202024814,9.822080063343048,0.1708
27,0.3124433022481933,10.391182869672775,0.1595
28,0.3045242141832054,10.459620440721512,0.169
29,0.30530717513696287,10.932331820726395,0.1587
30,0.30305690480559133,10.958606317043305,0.1624
31,0.2980336946635662,10.956609100103378,0.1613
32,0.295664485269948,11.656819202184677,0.1559
33,0.29147451207331226,11.493944767236709,0.1631
34,0.29104847500387115,11.27844242978096,0.1698
35,0.28420057429758994,11.972614717006683,0.1689
36,0.28166943483363527,11.282533058166504,0.1776
37,0.28174854223534934,12.571820573091507,0.161
38,0.28123327034953205,12.210641021728515,0.1633
39,0.2723288382568397,11.87527227640152,0.1695
40,0.27421966438719536,12.163470601797103,0.1773
41,0.2676306699413651,11.508734200954438,0.1824
42,0.27005685679971553,12.456027304172515,0.1808
43,0.26695518100413806,11.70798252415657,0.184
44,0.2608517879950426,12.771703037023544,0.176
45,0.26073375185288794,12.75841001343727,0.1734
46,0.2594583643423316,12.056954890966415,0.1822
47,0.253733675970952,11.905991188287736,0.186
48,0.25370213054323104,12.924215480089188,0.1805
49,0.25338518689932144,12.235068479776382,0.1829
