Epochs,Train Loss Average,Test Loss,Test accuracy
0,3.2802795328617096,2.304246511697769,0.1
1,2.4368581014633177,2.3233051126003263,0.1
2,2.2605767289638523,2.3861848187446593,0.1014
3,2.2047879588603974,2.337382550358772,0.1171
4,2.1745032647132874,2.29447805082798,0.1335
5,2.1431072378158573,2.2827985832691193,0.1429
6,2.1223778304576872,2.261472982287407,0.1507
7,2.102219279766083,2.495812586903572,0.1312
8,2.062397124671936,2.0977858551740645,0.2132
9,2.0402938454151154,2.2601409999132156,0.1784
10,2.0176305848598477,2.022413864374161,0.2505
11,1.9855135119915004,2.1232491607666018,0.2282
12,1.9663378195762635,2.0483958530426025,0.2296
13,1.9351385210514067,2.0353342493772506,0.2514
14,1.905497655057907,1.8458788974285125,0.3164
15,1.8901422244548798,1.8600448659658433,0.3065
16,1.8711990239620206,1.8717240027189255,0.3078
17,1.8528912785053255,1.80986436855793,0.3304
18,1.841434277081489,1.955964765548706,0.2911
19,1.8297570509672165,1.9100981550216676,0.2962
20,1.8237104832172395,1.7596888162493707,0.3544
21,1.8086720198631288,1.7644368848204612,0.3512
22,1.7878609148740765,1.7486376614570618,0.3576
23,1.7578313757658006,1.6687101728320122,0.3865
24,1.7335559730291368,1.6444556466341018,0.4042
25,1.7283692657709122,1.6185791437625885,0.4114
26,1.7028160462379458,1.6256360177397728,0.413
27,1.6960125586271286,1.6636021903157234,0.3977
28,1.678099587392807,1.597312987267971,0.4177
29,1.6531636356115342,1.5664532935023308,0.4304
30,1.6188847496747971,1.5493828710317612,0.436
31,1.6073195460081098,1.5469966489672662,0.4314
32,1.578181213092804,1.5530658162236213,0.4397
33,1.560515328502655,1.517165036559105,0.4542
34,1.5307058790683745,1.4585193962454797,0.4703
35,1.5208933987379074,1.4666303259134292,0.4785
36,1.4883059824228289,1.4423592991828917,0.4754
37,1.48615966963768,1.4366572148799897,0.4827
38,1.4708864911317827,1.4356627560853958,0.4818
39,1.4572268344402315,1.5141937491297721,0.4603
40,1.4281211020469669,1.3824549638032912,0.503
41,1.4180711834669113,1.3938275555074215,0.5025
42,1.3830996899843215,1.3421972398757935,0.5208
43,1.366600230038166,1.357497002631426,0.5196
44,1.3413016695499418,1.304677993774414,0.5351
45,1.3089459872961045,1.2999496792852878,0.5358
46,1.3137084330797195,1.2976464903354645,0.5353
47,1.3059968638658523,1.2717834190428257,0.5451
48,1.2872776703238487,1.25399599725008,0.553
49,1.2575328640878198,1.2396103659570217,0.5581
