Epochs,Train Loss Average,Test Loss,Test accuracy
0,1.2126381615757944,2.5641707129478455,0.1
1,0.9422242404893041,2.829374425172806,0.1
2,0.7767374383032323,2.81991725564003,0.0999
3,0.6897296876192093,2.921971820473671,0.1037
4,0.6540796499699354,2.8319846341609956,0.1052
5,0.6343614330500363,2.884446147561073,0.1097
6,0.6129452244699002,2.8411531436443327,0.1606
7,0.5975381696179509,2.829378047823906,0.1611
8,0.5765605663776397,2.8393623698949813,0.1637
9,0.5712274553529919,2.83170710003376,0.1625
10,0.5639840562045573,2.837088804125786,0.156
11,0.5653111885383725,2.7745099192857743,0.1688
12,0.5570479073062539,2.8190011160373687,0.1655
13,0.5461330640271307,2.7939140334129333,0.1691
14,0.5384253491029144,2.8700169174671175,0.1713
15,0.53415773589015,2.8547528961896895,0.1718
16,0.5290164322189986,2.8201854939460755,0.1729
17,0.5163281450226904,2.7977931214571,0.1723
18,0.5150693643525244,2.8274969444274904,0.1695
19,0.50376923497729,2.809787318944931,0.1753
20,0.4945250148810446,2.769127537369728,0.1756
21,0.4914575962081552,2.773021619796753,0.173
22,0.4834318552382292,2.800325352668762,0.1725
23,0.47685255601778626,2.8351975940465928,0.1757
24,0.4671662319406867,2.8385531377792357,0.1769
25,0.4685098834101112,2.843475870490074,0.1775
26,0.46185560264885417,2.7985004452466966,0.1784
27,0.45545824838094423,2.800405470609665,0.1742
28,0.44558287469670177,2.7080813684463503,0.179
29,0.43380287094637754,2.8381348543167113,0.1716
30,0.4516674311921,2.7636043850183487,0.1793
31,0.43261048965901133,2.7279337531328203,0.1801
32,0.43431961712092165,2.704900070309639,0.1741
33,0.4225508181151002,2.7719477732181548,0.1809
34,0.42274877349883316,2.7925630050897596,0.1799
35,0.41438351634070275,2.858838910341263,0.183
36,0.4139407770302147,2.8557768713235854,0.1778
37,0.40922372983433314,2.8849224172830583,0.1813
38,0.4086038945846259,2.7435993633270264,0.1799
39,0.3996724300801754,2.7539681527614595,0.1831
40,0.4053220485255122,2.7593400373458863,0.1809
41,0.39211519057638944,2.8143883529901506,0.1759
42,0.3908159355614334,2.746585808992386,0.185
43,0.3841564651636407,2.717212241768837,0.1799
44,0.37419481884092093,2.7540224064588545,0.1824
45,0.3888082274992019,2.7343844225406646,0.1831
46,0.3826704337704927,2.7418124794960024,0.1833
47,0.37077753380304207,2.7372735028266906,0.1848
48,0.3747966636845842,2.7609238179922104,0.1807
49,0.3765375032003969,2.7571811863183977,0.1856
