Epochs,Train Loss Average,Test Loss,Test accuracy
0,2.995263907377823,6.107811868381195,0.0397
1,1.989179538247677,4.392716363596079,0.1317
2,1.1577289205698225,3.7135609102706177,0.1478
3,0.9734816647501876,3.0894940638313657,0.1917
4,0.8987340802308887,2.952635515993015,0.2132
5,0.9475318346136751,2.638106960077255,0.2124
6,0.8130419232237797,2.4442066902550645,0.2103
7,0.7778582903968456,2.4901893116033875,0.2065
8,0.7556003809709533,2.498013848313889,0.2215
9,0.7271943685831502,2.3225245890906825,0.2552
10,0.7441684115284051,2.193721706874835,0.2623
11,0.6121221390875199,2.3431393224210404,0.2381
12,0.6897650986300924,2.2377238086999034,0.2357
13,0.6417547684055396,2.5379608564864333,0.1557
14,0.6617555472256544,2.2144204195315083,0.2303
15,0.6466790792568086,2.113329371705223,0.1923
16,0.6555201757287319,2.192034984929874,0.2371
17,0.6818629523524298,2.199059838684984,0.2023
18,0.6993097276928333,2.2504193280070734,0.2078
19,0.6613417032371777,2.2129327451078273,0.2116
20,0.6326562509334719,2.027820810342368,0.2796
21,0.6598588185814711,2.171840131092376,0.2221
22,0.5930049521212752,2.362345940769671,0.2347
23,0.5875684869618943,1.9315950268754563,0.2898
24,0.6874036840521373,2.029456166032785,0.3123
25,0.5378466067155105,2.0253655780999424,0.268
26,0.6471767254648373,2.0917688573892126,0.2957
27,0.5865875586697186,2.0232485864109124,0.3139
28,0.6692798605260368,2.1814533190224497,0.2261
29,0.7166389173040022,2.075150579309311,0.2857
30,0.6549521488639025,1.8697456414707172,0.338
31,0.5753485968443923,1.9905159199199738,0.3026
32,0.6756110738013656,1.897109030534665,0.3128
33,0.6122929245806658,1.8016889350482832,0.3857
34,0.5124121311926642,1.9504672064187047,0.3157
35,0.6069410952237936,1.8798190747587065,0.3301
36,0.6021447121103007,1.9788134059966944,0.3009
37,0.5821704206038982,2.075362868964101,0.2466
38,0.49931760287951105,2.2798516003849407,0.1936
39,0.46022214611562395,2.025847090318942,0.3478
40,0.5898517622039295,2.1227699464883285,0.2375
41,0.6931702133554679,1.87802291068787,0.3265
42,0.45183968909998207,1.8731138588140568,0.3831
43,0.6247242493984791,1.797506992809308,0.378
44,0.5749564579938754,1.981856071910919,0.3354
45,0.6247229107283953,1.9489062262800174,0.2845
46,0.576629941808418,1.9619887176032265,0.3184
47,0.5026731730456678,2.0100082364706946,0.2935
48,0.5850368344153349,1.9603933431089116,0.3454
49,0.620561157625455,1.7912585647723165,0.3513
50,0.6546494090786347,1.9202231305856674,0.3003
51,0.6273550608249094,1.8889182722225737,0.2795
52,0.6426286896762365,1.9559192981202,0.3234
53,0.5671485984814353,1.8765959225523585,0.3608
54,0.5430043972330167,1.8343539405554627,0.3393
55,0.5239114164840429,1.8795688761689793,0.3377
56,0.5144331558732889,1.7197751134348374,0.4244
57,0.5738682762486861,1.9036042324651163,0.3333
58,0.5285263617451375,1.7670887198311072,0.3484
59,0.4650608658754769,1.7643974646211813,0.3992
60,0.5193298738163251,2.0517637642046895,0.2727
61,0.47330944807304504,1.905801869809818,0.3508
62,0.5886217639566615,1.8278294447511911,0.3535
63,0.5798612271068403,1.8412269784238773,0.3356
64,0.5304415613609869,1.810734771691953,0.3638
65,0.4495132523409736,1.7823802960185577,0.3426
66,0.6478527245040124,1.7322296620177005,0.4011
67,0.6153644092667562,1.9593502347842573,0.3099
68,0.5549814449766508,1.7892893133833767,0.3361
69,0.6462412301594247,1.8585938276193392,0.3407
70,0.6077756821894302,1.684146132712928,0.4335
71,0.5570070257141756,1.7986951118079237,0.3731
72,0.5009849584876346,1.8120661829226314,0.3695
73,0.5196887044665905,1.6294900811137483,0.4312
74,0.44399598770810716,2.1478864076419377,0.2611
75,0.5676599760727885,1.8043999801428554,0.3591
76,0.5021028784551442,1.8069518991171742,0.3764
77,0.501309150410816,1.8009358328371383,0.3971
78,0.5046887866848221,1.787488418646133,0.3657
79,0.4659085549772358,1.7427098610149785,0.3435
80,0.472088864340017,1.6111831691699288,0.4662
81,0.45716601300250315,1.6963286369372481,0.4064
82,0.47311001388857565,1.7071661850134023,0.3953
83,0.518191838661173,1.8069802454104438,0.3584
84,0.5063808005589705,1.6761627700001287,0.3838
85,0.5328730668012912,1.676924839187354,0.3993
86,0.46364850819361614,1.753079004561939,0.3698
87,0.5570977165148808,1.6833017222797528,0.379
88,0.5381056508049369,1.7332278836649446,0.3866
89,0.4988446588699634,1.9806537060691907,0.3114
90,0.6209443508159334,1.8195167181971736,0.3136
91,0.5322066109555845,1.8438738706393745,0.3149
92,0.5405118125849045,1.8418144269492298,0.3314
93,0.5315541919195452,2.1070927754758646,0.2592
94,0.5036518323808336,1.8066767492233373,0.3887
95,0.5489947125611183,2.0341670490301453,0.2795
96,0.5501265670656441,1.6456577248466662,0.416
97,0.46881449264653313,1.7103509598265823,0.3513
98,0.42068825408708876,1.7869795469430307,0.3603
99,0.4502903160254041,1.7576542064404717,0.347
